,tweet,class
132,yall still going trick treating year nahhell yeah ima da sweet tooth bandit steal bitches bags n shit,1
133,wan na sex mom fuck right pussy came damn got hacked like fuck,1
134,kiss u eyes open watch bitchlmfao,1
135,woulda coulda shoulda ass hoe,1
136,happy bday bitch ass nigga bitch roll,1
137,used send bitch,1
138,ugly bitches like im wcw duh bitch aint nobody elses,1
139,nigga know hacky sack hoes nah throw look passes lmao,1
141,glad im getting outta atlanta nothing bunch niggas outta jail dumb bitches mad kids fuckin em,1
142,isnt ghettoits sma im idc,2
143,would wife hoe cuz wouldnt care cheating force relationship first place,1
144,single isnt excuse hoe,1
145,white boy power bitch black power bitch,1
146,lets get drunk get blowed spit shit spark blunts fuck hoes bro white dudes chill,1
147,bitch u around world back,1
148,dont get dick sucked yo party bad bitch im fr gone set,1
149,oomf soooo cute probably hoes lot,1
150,every cartoon alway saving hoes lmao lmao damn captain saveahoe,1
151,wants get nose bad bois scally chav sockfetish stinking hot sox legs,2
152,wish bitch like brother keezy ooooow bet,1
153,dressed cat halloween basic pussy,1
154,pornhub get gaming stream feature dumb bitches gtfo get,1
155,stop scared choke sex u bitch ass niggas like says guy hits women bed foh,1
156,ha well iguess make hoes loyal bro theyll never loyal hoes nig,1
157,oh man molly ho fuck ya seed fixed,1
158,youre man refer every girl bitch,1
159,lmfao cat started beating shit nigga finally got pussy nigga,1
160,peel peel bring back rewind back im move shaq line ooooow tf said trash,2
161,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,1
162,naw old tape new cover upcoming mixtape kingofthehill yeah im waiting hoe mayne,1
163,ol dirty foot ass bitches funny,1
164,thats get yellow flags amazing hell yeah niggy,1
165,dont got time bitches actin iffy,1
166,ucfpinkparty come stay alive knights nation still early bird special comeatmeut,2
167,hoes aint loyal aint smfh wonder nobody decent wants,1
168,bruh studs keep thinking im soft hell ask ya girl many times screamed bitch oh okay stfu bye hoe,1
169,dry pussy bitches always blame condom,1
170,shut yo bitch ass,1
171,gucci mane jail dropping mixtapes every month hoes cant even text back,1
172,love hoes money wats wrong niggas,1
173,loyal bitch burbs without daddy issues like finding holographic mewtwo sounding like lol,1
174,easy cum easy hoe thats fact,1
175,charlie sheen real major fucking respect charlie sheen,1
176,wish bae got hoes tho,1
177,fuck twerking bitch cook,1
178,bitch wtf,1
179,shut zoe fight pussy zoe im good man good maam move along,1
180,lmao fucking snake bitches em,1
181,big booty hoes everywhere sheesh damn,1
182,stay tuned update repothat weeks bum,2
183,play soccer cheat girls wear khaki coloured cargos haircut yes lmfao,2
184,oregon chokes every year get field trash ass program rft,1
185,def cowboy lol terrell owens best eagle cowboy ever dude cried like bitch tv romo,1
186,lmfaoooo hate black people theres black people niggers,0
187,could u bitch potent,1
188,pissed lad past would lick dirty soles slept,2
189,love frat boy w soft long soles,2
190,sexy lad hot soles arches,2
191,nah fam got ta cheat hoes depends female feel,1
192,got hicks lol,2
193,new twitter confusing shit go back south america bitch,1
194,toto means ass vaginai think pussy cause toto santi like nasty pussy,1
195,actually choose ugly bitch ass must fat,1
196,bitch couldnt kill vibe ya tried dis love miley,1
197,im tired bitches saying look mean nigga big af wear tight shirts grim everybody,1
198,birds grandkids may never see thanks climate change climate,2
199,stay beautiful bitch,1
200,wutkinda r purple ceeeleeeman gurl jus playin stupid hoe track still shitted sum gurls,1
201,money getting taller bitches getting blurry,1
202,aint never seen bitch obsessed nigga im obsessed mine,1
203,kobe stay talking trash lets forget meant one smh,1
204,least im nigger lmfao,0
205,people always asking im mixed bad asian bitch lol,1
206,ariza snake coward least isnt cripple like hero roach lmaoo,0
207,fosters home imaginary trash whoa chill show everything tf,2
208,lowkey tired tired quiet go sleep hoe,1
209,stop bringing weird niggers mentions,1
210,dont love hoes,1
211,yo girl cant homeboys ol weak bitch ass nigga,1
212,think worst advice gave dont pussy speed lol,1
213,quote tweet favorite animalpussy,1
214,hate strippers tell theyre dancers hoe ballet dancers dont pop pussy beethoven stripper,1
215,andrewbryant poff double vision beers poff double pussy smh,1
216,bitches twerk computer ya ya damn,1
217,prince nobody takin bitch,1
218,welfaregovernment aid claimed white people yall black slander trash,2
219,bitches dont care play role,1
220,took find hiding lime tree dis bitch da wrong tree bro,1
221,drakes new shoes released nikejordan yes theres glitter shoes dudes fag,0
222,inna di ghetto alone lmaoo,2
223,hoes austin teach us austini teach u get curved thats know,2
224,bitches cant cook know suck dick ones,1
225,fat hoes get chose lol,1
226,hoesaintloyal well theyre hoesno one expects loyal,1
227,ol bitch ass,1
228,bruh im tired niggas retweetin miley cyrus naked bitch aint types bad lmaooo,1
229,tony romo mavs game dont mean still bitch lmao fuk cowgirls lol bitch fuck,1
230,holy shit freddie highmore charlie chocolate factory rolls floor laughing,1
231,dont want sex gf feel like im using anonymous whata faggot,1
232,one followers somebody bitch dont,1
233,ya bitch always bitching clearly care annoying bitch,1
234,catfish hoes thinkin slick niggas catching,1
235,cant worry bitch aint worried bout real,1
236,side hoes insecure niggas cant handle real one,1
237,lmao bitch come scooting tent like fuck shit,1
238,cousin said share hoes brothers said sharing caring love brothers,1
239,im hungry ionn wan na spend money food hoe problems,1
240,dese hoes lyin us nigga,1
241,oh yeah fuck bitch,1
242,eli manning threw nflleading interception season lmao trash,2
243,usc senior rb anthony brown calls head coach steve sarkisian racist quits team hes bitch,2
244,guess also zero time mansplaining adios stfu pussy,1
245,chilling sexy scally lad,2
246,aint sharing bitch mines mines,1
247,money impress simple broke bitches,1
248,pisces never anybodys bitch dont let people control change rigghhht,1
250,tuku ho idk blah blah blah,2
251,im mad cuh hahaha suure tuku ho ita,2
252,hoes crazy,1
253,aint ever gon na slice bitch kevin ha,1
254,oomf fuckin fine tho dam dont bitch,1
255,wonder girl gave head boys drink magaluf twitter probly sends nudes fags,1
256,newsatquestions yeah bitch yeah bitch call maybe b steveo c later jesse pinkman,1
257,hickies thighs right pussy right,1
258,would still love im longer young beautiful ugly monkey ass,1
259,yall come frontbitch aint coming,1
260,faggot bitch,1
261,yea im ipad dont work friday lets ball faggot work,1
262,scally lad would get,2
263,gerryshalloweenparty halloween yesterday stupid nigger,0
264,chrus still supahot tho walks teacher test drops test bitch fohead,1
265,love eating pussy lol never get full lol eat shit forever lol ever,1
266,slushes nasty anyway fam hoes taste like meds,1
267,slushes nasty anyway fam,1
268,bobby bitchby getting live fuck hell yea play hoe workout,1
269,yo bitch gucci mane bitch stoner,1
270,ride bitch handle bars,1
271,aint hoe get traphoussseeeee,1
272,sad tv character deaths still bitter stark man,2
273,harbor bitches party bus hoes lol,1
274,pussy love,1
275,ultraviolence video coming little bitch mtvhottest lana del rey bitchy promo,1
276,way fuck bitch lmfao kittycopter,1
277,smuggler explains helped fighters along jihadi highway,2
278,aww avis look cute together got ta get ike avi bitch,1
279,simple dont hoedont worry exposed fight mewhy,1
280,whys bitch boosting size isnt exactly healthy tho,1
281,bet bitches kim bye,1
283,damn near got ta protect tweets stalkers annoying got dope dick drive bitches loco,1
284,im making marack girlfriend aye b pullin hoes like taught,1
285,bruno fag boy love,1
286,must bitch sike naw always beefing,1
287,yankees look rally bottom rallycap,2
288,dont take advantage nice person hoes everyjuan,1
289,happy birthday bitch nigga thanks pal,1
290,sad knowing hoes wont fuck bc aint got stacks wait till friday,1
291,cinco shit harder fucc niggayee fucc wit rich homie cuz dats ya homeboy fucc nicca,1
292,ewww said last sundayas last sunday read nigs,1
293,punch real niggas face cause pussy nigga gon na punch right back strong mush shake,1
294,pussy still fresh something stank girls say,1
295,ass slapping one greatest things haha slapped girl ass got mad aint get pussy week,1
296,yeah texans much better fucking retard see youre mad,1
297,nd wtf dark bitches blonde please several seats hoe looking like blackmilds,1
298,theres lane bitches need stay left n get right fuck outta face,1
299,hate boys deny bitches smh,1
300,ya nigs still saying yall dont eat butt straight face,1
301,im boss ass bitch needs sit corner,1
302,hes hoe cant,1
304,paul thinkin bout gettin rentals da weekend shit bitches betta stay da streets,1
305,bitches hold nigga get locked nigga go college military different story,1
306,friends hate ratchet hoe,1
307,love fuck niggas hoes,1
308,hot meat sexy fuck scally lad would love meet trainers,1
309,sniff perved scally lad fuck yeah,1
310,bitches love sosa,1
311,legit watched seconds wtf prob cause retarded smh,1
312,name cat ideas mr pussy,1
313,woof woof sexy thug boy scally,1
314,u see damn phone ringing married bitches makes demands havent called,1
315,tevin favorite sophomore think hes funny hes really lmaoo hes little hoe,1
316,sex positions u call fucking soul outta bitch,1
317,bored supposed cute faggot sometimes,0
318,one mans trash another mans treasure,2
319,dont got type bad bitches thing like iongotnotype,1
320,lassen cc coach wants feel youll get nig doubt,0
321,god teeth gold chain white bitches cocaine,1
322,hoe hoe shhhhh,1
323,dc call rollers chiraq call thots across america known hoe,1
324,im gon na miss bitch bus driverno wont dont lie,1
325,hate bitches try put friendzone bitch im tryin score put endzone soul,1
326,ashley young tried deny bird landed mouth hahaha,2
327,yall gimped aint tht bitch huh lol,1
328,take ride redneck woof woof,2
329,oh god love victoria mitchell bitches love,1
330,long distance shit wack knew bitch cheating uh oh,1
331,hes right bitches smh,1
332,ban dat pussy life got ta pay millon dollar fine,1
333,roses red violets blue niggers black know thats true,1
334,sitting window sill window open bird tries fly smacked protecttheanimals,2
335,nigga gon nigga nigga sound fuckin retarded,1
336,video entire media likely mock crybaby,2
337,im even shy stfu kikis mom hi angelique angelique smiles dips cracker soup,1
338,tim tebow got cut every team nfl already got hoes starkville smh,1
339,karma bitch damn godprotectshisangels sips tea,1
340,fuckin hot gym pussy fuck yeah,1
341,jihadi patron hajjaj alajmi arrested kuwait airpo,2
342,call fireman cause turn hoes,1
343,could never bby lil dick thts got abortion last bitch oh god,1
344,watch women try argue like dick actually fucked pussy hate bitches,1
345,smoke weed public fuck cops man wan na dont run come retarded,1
346,tweety bird tho,2
347,pussy sweet like watermelon thotermelon,1
348,twitter rappers dm trash links,2
349,loud bitches annoy,1
350,eventually every bitch turns hoe truuu,1
351,swear oomf try talking tomorrow pussy,1
352,bitches pretending tf crazy aint never lied,1
353,k bye hoe um bye,1
354,jackies retard blondeproblems least make grilled cheese,0
355,ima keep giving pussy ass niggas ah reason hate,1
356,photo sole heaven,2
357,stacey dash baddest bitch evaaaa,0
358,side bitch sunday,1
359,facts baldheaded bitch made shit lmao,1
360,fuck wit us tweakin hoe shmurda,1
361,actin like day,2
362,ill break lil bitch neck wont even feel sorry savage,1
363,fucking hot scally sneakersex sockfetish sniff trainersex love kinky scallies,1
364,yall dumb ass niggas pressed hoes yall weak fuck fuck weed hoes oreos,1
365,turn yo bitch eaterrrrrrrrr,1
366,dont trust dese hoes nikki told stay fans screen shot asap finna come chiraq shoot sumn,1
367,aye yall ima tryout bowling team frfr tryouts passed tho theres two retard,1
368,u got u want bitch enjoy crazy party would love attend,1
369,colored contacts eyes blinders mine cause cant see lmao,2
370,facts dudes hoes say dont got hoes,1
371,im rea stasmacking bitches period bluffin best,1
372,lifes bitch die thats get high cause neva know youre gon na go sister perfect,1
373,one us drugs youre still wrong hahahahahahah im bitch sometimes,1
374,im feeling pretty fuckin ghetto smh,1
375,swears im man easily easily behind austin nip,2
376,true ride die bitch fuck hahahahah,1
377,hgwells charlie chaplin history photography,2
378,see brunos bitch ass twitter wtf brunos sees drake voice,1
379,im cool faggot chill tf cool nigga,1
380,im sure bitch frfr tf,1
381,twitter source news broadcast fucking retards nbc abc cnn fox etc keeping quiet,1
382,got couple bitches saying know let money talk im like wwyd,1
383,grudges weirdosand bitches,1
384,told mariam cigarettes birthday also called trash rn,2
385,brownies tonight kind,2
386,text back dont give fuck ill text another bitch damn someone hulol,1
387,ummmmmm okay got hoes left right yah thang,1
388,using ymxb find slope ass,1
389,fit lads nice gear scally lads n trainers would get,2
390,hell yeah bro fuck yeah sexy scally lad hot gear,1
391,helping mate love scally play fuck yeah,1
392,lads lads fuck yeah love scally lad action hot trainers,1
393,next year bitches gon na like got ta promise wont expose,1
394,hot lick bitch fuck yeah eat trainer u dirty fucker,1
395,yall think celebrity pussy different locals yeah meghan goods,1
396,saw ajumma walk beginning saying wow trash cant even listen lmaoo,2
397,need sox fuck yeah love kinky scally lad w rank sox sneaks,1
398,dont ever expose females like thats childish bitch nigga shiiii,1
399,yasss trys new things bestfriend bitch love,1
400,dude remember wop video omg find,2
401,thick raw fuck damn man pussy getting workout,1
402,rawr sexy french scally love frenchscally sexy scally woof woof,2
403,nothin life free bitches need write ya panties,1
404,one bitches want burrito u catch potosino huh haha,1
405,niggas whole hoes cuz couldnt said better,1
406,hardcore way eat mac cheese boil water snocheese powder drink boiling water fuck bitches,1
407,yourenotmytype fade perpetually fresher thats real ass bitch rite,1
408,annoying bitch love judyanns pretty,1
409,lmao bitch got huggies,1
411,hi bitch bitch bye bitch,1
412,look like bitch,1
413,chase money hoes,1
414,cant stand dont know want ass nigga bitch,1
415,im way love chavhot sexy scally fucker,1
416,newly gay bitches dont kno shit works,1
417,bitch dont want real job become strippers lol lol,1
418,awww meat meat feelinsi ainn n feelings bitch,1
419,want snake bites industrial piercin tattoodem hoe accessories dea,1
420,baby albino,2
421,hoes aint loyal,1
422,yassssss ordered chinese bitch ate tacos fat fuck,1
423,made bitch lunch bitches love lunch,1
424,brainer soon bitch gets rich political power views change political whores,1
425,pussy day keeps devil away,1
426,aint bitch mean,1
427,bitches want baby dont want children,1
428,bitch must lost,1
429,baby like left side bitch cant cuz street side twitter said aint real,1
430,bae sounds like ghetto word use something else,2
431,batter wee cunt jewis cos fucked ex emma isnt battering girls ive nailedive moved onstop pussy n urself,1
432,bleed hoe alexa,1
433,boolin bando wit bitches,1
434,brownies brownie love movie,2
435,need bad bitch thats hotter might realist shit partynextdoor ever said thats feelin everyday,1
436,way punch bitches,1
437,caesar home much bitch looks like lets stawith ape shit,1
438,chinese maverick communicating comrade u know giving imperialist yanks birdie,2
439,dad say hi snapchat dad duces bitch,1
440,believe hoes fact loyal disagree believe fact loyalest bunchthese hoes,1
441,dont know ugly bitches dont know broke niggas,1
442,dont make make fall live nigga like meee birds favorite songs weeknd,1
443,dont worry nigga see worry nigga dont see dats da nigga fuckin yo bitch,0
444,dont ever give pussy away keep tight alright,1
445,dropped stack cause bitch im song called dope download mixtape,1
446,dumb bitches dumb things,1
447,eat pussy like real nigga hungry,1
448,eff lets go cripple,1
449,everything look better bitch next,1
450,facto cares hoe ass looks like,1
451,every bad bitch nigga tired fucking,1
452,foreign chick lie man bitch beautiful,1
453,fresh nigga kno need clean bitch kno im working cuz wan na see team rich,1
454,fuck make rules suck dragon balls bitch call goku,1
455,generate ascii boxes nodejs see ability bring flappybird node via ascii tubes bird,2
456,get shit bitch fine bear,1
457,get ass back detroit ya fuckin wigger,1
458,girls dated okay aint mad yo unless stabbed heano love hoe,1
460,know twitter password bitch please,1
461,seen shows seen hoes wasnt hot would thick,1
462,bitch hitting hoe,1
463,married white woman lucky sumbitch uncle ruckus,1
464,wan na nigga im trinna savings account omg imma funny ass bitch man thats real shit,1
465,great grandmas hoeher grandmas hoeher moms hoe shes hoe long line hoes grandpa carl everyone,1
466,hey go look video man found kidnapped girls ohiowhat nigger shitmybosssays,0
467,hey pussy still,1
468,draft gungho folks send afghanistan war zones show,2
469,hotter bitch,1
470,u talking hoes bout bro n em talking hoes bout bro n em,1
471,crazy bitch hilarious,1
473,know shoes dirty fuck whatever bitch dont call like negro one first things look shoes dog,1
474,thrill billywith hillbilly hea hahahahaha jesus murphy,2
475,call bitch,1
476,cant handle liquor bitches cant handle meeedd chief sosa,1
477,dont chase dudes chase bitches edgar bautista,1
478,dont love hoes baby forever,1
479,dont even need picture tamar bitch beat every picture,1
480,dont hoes,1
481,found new way chug open mouth alot shitallysays,2
482,fucking hate bitch much wan na smack face tongue kiss,1
483,got bitch set like jada picketqueen latifah riding round nieces bitch titi,1
484,got sister told stop calling women bitches,1
485,guess night bitches die stewie nigga,1
486,bitch bitch bitch eating halibut freshrhymes jerksquad slowstir,1
487,ladylove shes married still wan na bang wont sex bitch troubadour probably,1
488,heard looking candy man bitch,1
489,hope dont get mad ladies call bitches bitches bc dont know names individually katt williams,1
490,got number im bitch boy,1
491,know shit eatin grin either fucked girl dreams sold car know youre faggot whatd sell,1
492,older men cause theyre mature supposed fool us bitch,1
493,prolly leave bitch cups hand yo hand hand,1
494,said dont like tastes like wolf pussy even know tastes like,1
495,taught eat pussy cut hair taught eat pussy hair name movie,1
496,used dress like cop oh really yeahright pussy really yesill never forget,1
497,went jail flock came home wit strike went jail bitch came home dike,1
498,fuck u u stand u dizzy bitch two unique separate phrases overheard relative saying younger,1
499,woke like thi bitch go back bed,1
500,would rather call bitch sir manager,1
501,ill beat pussy hard,1
502,ill slit throatneck,2
503,im funky ass honkey shout tonight cabaret,1
504,im comparing kfc pussy,1
505,im downloading new personality ordering new face bitch love goddamn axl rose yelling sex robot,1
506,im feelin like malcolm middle bitches surround cant miss em,1
507,im gon na piss dimple stop wasting prayers trash teams lol,1
508,im probably main bitch chocolate dipped cinnamon apple,1
509,im sick shit man sit bitch ass im fed bro geno threw yet another pick smh,1
510,im sorry fucked yo bitch really dig nigga,1
511,ibs irritable bitch syndrome,1
513,love hide yo bitch youll keep shorty,1
514,talk back aint getting pussy,1
515,youre bad bitch put hands high every girl room starts waving hands around,1
516,imma tie bitch basement donkeyfuck ass two weeks straight hahahahahahahahaha beforeiselfdestruct,1
517,mind got ta dumb hoe anthem,1
518,albino mexican dad hes asian,2
519,takes true directioner accept larry know bitch fans like make boys cry thankyoupaulforconfirminglarry,1
520,allegations u bedroom u see words naive blind bitch know ur husband cheated u ramona dumb,1
521,never late tag bitch,1
522,dykes hunter dyke dyke,1
523,julia roberts youre ho nottinghill,1
524,follow yellow brick twitter,2
525,lmfaoooooooooooooooooo pussy good mama like guess got ta go mama,1
526,lol cripple wendy davis scientists create remotecontrolled chick study shy penguins,2
527,lets nips ahoy spank maybe,1
528,lets kill cracker babies wtf hear wow,0
529,like correct im wrong doesnt pimpin involve smackin bitches money,1
530,lmao pound cake look like pussy,1
531,lmao drose adidas lighter phone shit retarded,1
532,mam ren doet haar rol net ze ongesteld wat ongesteld van dat soovragen waar je denkt hoe leg ik die weer uit,2
533,maybe wants friend maybe shes stupid bitch never know make cum,1
534,mine plays dmx kirk franklin smh well neighbors ghetto get like beat kids,2
535,grandma used call porch monkey time come think refer broken bottle nigger knife,0
536,momma told tell mind yoooo damn motha fuckin business knowin bitch,1
537,nips freeeeezingand thats okay theyre slicing bra,1
538,twitter hacked im pussy admit said want act like never said,1
539,nah girl aint gon able make tight since russ loss job back like damn bitch really,1
540,nah yo thought photoshopped face faggot smmfhi hate yall,0
541,new flame song yr lol bitch super run like,1
542,niggas always yelling fuck bitches get money meanwhile theyre broke still want bitches,1
543,niggas pressed pussy eeeeeen nothin,1
544,bitches nan,1
545,boats hoes please thanks mom,1
546,ovo kendrick lamar still trash,2
547,top pregnant ass sorry hoe aint never got money even water broke riptallt,1
548,couple red sox gotten past first base im dying laughing maybe yanks need teach game,2
549,people time aryan race stand say mongerls turn world ghetto slum,0
550,pistol whip dickau shoot yo bitch club sometimes freestyles freestyles im okay,1
551,please thanks pierced pussy come across timeline,1
552,remy machiavelli send shots ya belly bitch,1
553,roberto one nasty hoe,1
554,sorry jb fan justin come back top comment justin timberlake video million views son fucking bitch,1
555,searching incredible story white mans quest find ingredients necessary make caribbean jerked chicken redneck land,1
556,selling soul material wishes fast cars bitches tupac smile remix,1
557,shake bear aka two rednecks sex dead bear,1
558,shall compare thee summer day summer day bitch,1
559,got ta shape pussy lips tho whole wheat organic pussy,1
560,said wigga man richtake durag,1
561,bitch anyway,1
562,shes florida youve got sniff test swamp pussies,1
563,slow fuck bitch know live classy young lady,1
564,hes good football playerbut still acts like nig,1
565,stop pussy son shove needle hea afterearth,1
566,stop looking us go eat pussy yuppie fucks,1
567,takin straight diwhy finger pussy know put dick,1
568,aint bro moves thats hoe moves,1
569,girl plain looking borderline ugly chunky hey least shes got nice smile great personality,1
570,devil grows inside hearts selfish wicked white brown yellow black color restricted,2
571,water isnt yellow im healthy student,2
573,hoes keep callin aint pickin,1
574,sour apple bitter bitches im fuckin wit em,0
575,faggots orioles petty fuckgot swept outta bitch,1
576,ghetto ass bands gets snuck,1
577,division trash saints gon win nfc southwatch,2
578,fans waited bitch niggas hated old hoes dated look mama,1
579,ghetto motherfuckers missy elliott,1
580,recipe calls leftover brownie hell leftover brownie thats brownie havent eaten yet,2
581,ratchet broads dont represent white ass cant talk trash cause racist shit black,1
582,trust noneeee bitch dont,1
583,twitter twitter bitch twitter life,1
584,two roads diverged yellow wood chose one j robefrost giant,2
585,u got bitch niggaal haymon antonio tarver,1
586,uhuh empty heamy empty bottle yellow cab would like catch cuz yo latest ex made u mad,1
587,used girlfriend got hoes lookin good girl fuckin low,1
588,virgin pussy regular pussy oomf pussy,1
589,whaaaaaat lmaooo thats luv u fat bitches cuz yall got big ole titties phat booties,1
590,walked bitch like nigga made,1
591,hate niggers hate faggots hate spicskkk rally,0
592,queer hut like butt,0
594,well bitch biology said,1
595,got ta repoyou spam ladies head game better pussy,1
596,im done hoe pass squad g,1
597,fuck callin jiggaboo nigga,0
598,people think gay marriage okay beyond sorry dont want future son seeing fags walking street holding hands,0
599,u little bitch chris aint six bitch allisons mom,1
600,would want play pussy dead snl,1
601,would wan na green ranger hes evil duh bitch,1
602,would want pussy side burns thats good question hahahahaha,1
603,shank bitch ceviche,1
604,work gets rough days hahaha hoes,1
605,wow bitch yes thats already established anything else say,1
606,yall forget brand new baby girl home bitch cookies burning,1
607,yah said word mtzraymegyptians people ysrahal inheritance kushiteethiopians,2
608,yaoooooooo mawnin yardies,2
609,yo bitch horn tryna shoot porn thats shiworthy tony,1
610,yo sublet pussy shitfahdsays,1
611,yo feet smell like puss whut like flowers bitch omg,1
612,yo mama bitch one sentence ended relationship,1
613,aint gunna shit spear chucker,0
614,aint bitch favorite response long texts,1
615,yo boys pussy cats,1
616,cunt,1
617,pull pussy dodge collect panties alright stormy jake,1
618,take someone ghetto cant take ghetto,1
619,dont like us colored folks hell youre colored white fucks,1
620,got hella hoes,1
621,hit lights line toco bell morning dianas back house miracle charlie,2
622,look cute today really helll swerve hoe,1
623,look like little birds help get dressed morning,2
624,ol trout mouth ass bitch deeeeaaaadd,0
